Sr. No. ,Country ,State ,District ,City/Village/Area,Pincode
2037,India,Rajasthan ,Nagaur,Chitai,341512
2038,India,Rajasthan ,Nagaur,Chitawa,341519
2039,India,Rajasthan ,Nagaur,Choliyas,341514
2040,India,Rajasthan ,Nagaur,Chosala,341509
2041,India,Rajasthan ,Nagaur,Chosali,341503
2042,India,Rajasthan ,Nagaur,Chundiya,341510
2043,India,Rajasthan ,Nagaur,Chuntisara B.O,341001
2044,India,Rajasthan ,Nagaur,Chuwa,341301
2045,India,Rajasthan ,Nagaur,D.M.Didwana,341303
2046,India,Rajasthan ,Nagaur,Dabara,341506
2047,India,Rajasthan ,Nagaur,Dabari,341304
2048,India,Rajasthan ,Nagaur,Dabariya,341502
2049,India,Rajasthan ,Nagaur,Dalelpura,341508
2050,India,Rajasthan ,Nagaur,Damboi Khurd,341504
2051,India,Rajasthan ,Nagaur,Dangawas,341510
2052,India,Rajasthan ,Nagaur,Daru B.O,341001
2053,India,Rajasthan ,Nagaur,Datani,341511
2054,India,Rajasthan ,Nagaur,Datina B.O,341001
2055,India,Rajasthan ,Nagaur,Daudsar,341516
2056,India,Rajasthan ,Nagaur,Daulatpura B.O,341303
2057,India,Rajasthan ,Nagaur,Daulatpura,341519
2058,India,Rajasthan ,Nagaur,Dayalpura B.O,341303
2059,India,Rajasthan ,Nagaur,Degana,341503
2060,India,Rajasthan ,Nagaur,Degana Village,341503
2061,India,Rajasthan ,Nagaur,Deh,341022
2062,India,Rajasthan ,Nagaur,Dehari,341030
2063,India,Rajasthan ,Nagaur,Deolikallan,341507
2064,India,Rajasthan ,Nagaur,Deu B.O,341001
2065,India,Rajasthan ,Nagaur,Dhadhariyakallan,341028
2066,India,Rajasthan ,Nagaur,Dhadhota,341512
2067,India,Rajasthan ,Nagaur,Dhadhwara,341511
2068,India,Rajasthan ,Nagaur,Dhananwa,341319
2069,India,Rajasthan ,Nagaur,Dhanapa,342902
2070,India,Rajasthan ,Nagaur,Dhandhalas,341510
2071,India,Rajasthan ,Nagaur,Dhandholi,341520
2072,India,Rajasthan ,Nagaur,Dhaneriya,341510
2073,India,Rajasthan ,Nagaur,Dhanipura,341031
2074,India,Rajasthan ,Nagaur,Dhankoli,341516
2075,India,Rajasthan ,Nagaur,Dhawa,341511
2076,India,Rajasthan ,Nagaur,Dhingasari,341317
2077,India,Rajasthan ,Nagaur,Dholia,341304
2078,India,Rajasthan ,Nagaur,Dhurila,341317
2079,India,Rajasthan ,Nagaur,Dhyawa B.O,341303
2080,India,Rajasthan ,Nagaur,Didiyakallan,341027
2081,India,Rajasthan ,Nagaur,Didwana,341303
2082,India,Rajasthan ,Nagaur,Dikawa,341506
2083,India,Rajasthan ,Nagaur,Dildhani,341505
2084,India,Rajasthan ,Nagaur,Dindarpura,341551
2085,India,Rajasthan ,Nagaur,Diyawari,342902
2086,India,Rajasthan ,Nagaur,Dobarikallan,341504
2087,India,Rajasthan ,Nagaur,Dobariya,341504
2088,India,Rajasthan ,Nagaur,Dodiyana,341031
2089,India,Rajasthan ,Nagaur,Dotina,341503
2090,India,Rajasthan ,Nagaur,Dudoli,341316
2091,India,Rajasthan ,Nagaur,Dugastau,341023
2092,India,Rajasthan ,Nagaur,Dugoli,341023
2093,India,Rajasthan ,Nagaur,Dugorachala,341503
2094,India,Rajasthan ,Nagaur,Dujar,341306
2095,India,Rajasthan ,Nagaur,Firwasi B.O,341303
2096,India,Rajasthan ,Nagaur,Gachhipura,341504
2097,India,Rajasthan ,Nagaur,Gagrana,341510
2098,India,Rajasthan ,Nagaur,Gagwana,341027
2099,India,Rajasthan ,Nagaur,Gajoo,341024
2100,India,Rajasthan ,Nagaur,Ganeshpura,341551
2101,India,Rajasthan ,Nagaur,Gangawa,341512
2102,India,Rajasthan ,Nagaur,Ganthilasar B.O,341001
2103,India,Rajasthan ,Nagaur,Ganthiya,341510
2104,India,Rajasthan ,Nagaur,Gaondi,341319
2105,India,Rajasthan ,Nagaur,Gawalu,341028
2106,India,Rajasthan ,Nagaur,Gawardi,341510
2107,India,Rajasthan ,Nagaur,Gedakallan,341520
2108,India,Rajasthan ,Nagaur,Gelasar,341517
2109,India,Rajasthan ,Nagaur,Geloli,341024
2110,India,Rajasthan ,Nagaur,Genana,341317
2111,India,Rajasthan ,Nagaur,Ghatwa,341512
2112,India,Rajasthan ,Nagaur,Gingaliya,341520
2113,India,Rajasthan ,Nagaur,Girroda Mitha B.O,341303
2114,India,Rajasthan ,Nagaur,Gogelao B.O,341001
2115,India,Rajasthan ,Nagaur,Gorau,341316
2116,India,Rajasthan ,Nagaur,Gotan,342902
2117,India,Rajasthan ,Nagaur,Gothara,341024
2118,India,Rajasthan ,Nagaur,Govindi,341509
2119,India,Rajasthan ,Nagaur,Gowankallan,341028
2120,India,Rajasthan ,Nagaur,Gudha Jodhan,341023
2121,India,Rajasthan ,Nagaur,Gudhabhagwandas B.O,341001
2122,India,Rajasthan ,Nagaur,Gudhasalt,341509
2123,India,Rajasthan ,Nagaur,Gugaryali,341023
2124,India,Rajasthan ,Nagaur,Gular,341501
2125,India,Rajasthan ,Nagaur,Gunawati,341505
2126,India,Rajasthan ,Nagaur,Hariyajun,341508
2127,India,Rajasthan ,Nagaur,Harnawa,341501
2128,India,Rajasthan ,Nagaur,Harsolav,342902
2129,India,Rajasthan ,Nagaur,Harsore,341515
2130,India,Rajasthan ,Nagaur,Heerani,341508
2131,India,Rajasthan ,Nagaur,Hudas,341316
2132,India,Rajasthan ,Nagaur,Hudeel,341509
2133,India,Rajasthan ,Nagaur,Hudia,341502
2134,India,Rajasthan ,Nagaur,I.A.Bidiad,341542
2135,India,Rajasthan ,Nagaur,I.A.Nawacity,341509
2136,India,Rajasthan ,Nagaur,Idwa,341503
2137,India,Rajasthan ,Nagaur,Inana,341026
2138,India,Rajasthan ,Nagaur,Indawar,341510
2139,India,Rajasthan ,Nagaur,Indokha,341508
2140,India,Rajasthan ,Nagaur,Indokha,341319
2141,India,Rajasthan ,Nagaur,Itawalakha,341504
2142,India,Rajasthan ,Nagaur,Jabdinagar,341509
2143,India,Rajasthan ,Nagaur,Jael,341023
2144,India,Rajasthan ,Nagaur,Jakhali,341502
2145,India,Rajasthan ,Nagaur,Jakhara,341301
2146,India,Rajasthan ,Nagaur,Jal R.S.,341514
2147,India,Rajasthan ,Nagaur,Jalaniyasar B.O,341001
2148,India,Rajasthan ,Nagaur,Jalsu Nanak,341514
2149,India,Rajasthan ,Nagaur,Jalsukallan,341514
2150,India,Rajasthan ,Nagaur,Janana,341028
2151,India,Rajasthan ,Nagaur,Janewa B.O,341001
2152,India,Rajasthan ,Nagaur,Janjila,341501
2153,India,Rajasthan ,Nagaur,Jaola,341503
2154,India,Rajasthan ,Nagaur,Jaroda,341511
2155,India,Rajasthan ,Nagaur,Jasnagar,341518
2156,India,Rajasthan ,Nagaur,Jaswantabad,341518
2157,India,Rajasthan ,Nagaur,Jaswantgarh,341304
2158,India,Rajasthan ,Nagaur,Jaswantpura,341504
2159,India,Rajasthan ,Nagaur,Jatawas,341513
2160,India,Rajasthan ,Nagaur,Jhalara,341512
2161,India,Rajasthan ,Nagaur,Jhareli,341022
2162,India,Rajasthan ,Nagaur,Jharisara B.O,341001
2163,India,Rajasthan ,Nagaur,Jharod,341506
2164,India,Rajasthan ,Nagaur,Jhintiya,341513
2165,India,Rajasthan ,Nagaur,Jhujhanda,341026
2166,India,Rajasthan ,Nagaur,Jijoth,341519
2167,India,Rajasthan ,Nagaur,Jiliya,341508
2168,India,Rajasthan ,Nagaur,Jiwadiya,341502
2169,India,Rajasthan ,Nagaur,Jochina,341023
2170,India,Rajasthan ,Nagaur,Jodhiyasi B.O,341001
2171,India,Rajasthan ,Nagaur,Jogimagara,341511
2172,India,Rajasthan ,Nagaur,Jusari,341505
2173,India,Rajasthan ,Nagaur,Jusariya,341502
2174,India,Rajasthan ,Nagaur,Kalri B.O,341001
2175,India,Rajasthan ,Nagaur,Kalru,341510
2176,India,Rajasthan ,Nagaur,Kalwa,341502
2177,India,Rajasthan ,Nagaur,Kalwani B.O,341303
2178,India,Rajasthan ,Nagaur,Kameria,341022
2179,India,Rajasthan ,Nagaur,Kankariya,341508
2180,India,Rajasthan ,Nagaur,Kantiya,341025
2181,India,Rajasthan ,Nagaur,Kanwariyat,341510
2182,India,Rajasthan ,Nagaur,Karlu,341026
2183,India,Rajasthan ,Nagaur,Karnu B.O,341001
2184,India,Rajasthan ,Nagaur,Kasari,341301
2185,India,Rajasthan ,Nagaur,Kasnau,341024
2186,India,Rajasthan ,Nagaur,Kasumbi,341304
2187,India,Rajasthan ,Nagaur,Kathoti,341023
2188,India,Rajasthan ,Nagaur,Katyasani,341510
2189,India,Rajasthan ,Nagaur,Kerap,341305
2190,India,Rajasthan ,Nagaur,Khajwana,341028
2191,India,Rajasthan ,Nagaur,Khakharki,341512
2192,India,Rajasthan ,Nagaur,Khakharki,341510
2193,India,Rajasthan ,Nagaur,Khakholi,341506
2194,India,Rajasthan ,Nagaur,Khamiyad,341317
2195,India,Rajasthan ,Nagaur,Khanpur,341512
2196,India,Rajasthan ,Nagaur,Khanwar,341027
2197,India,Rajasthan ,Nagaur,Khardiya,341509
2198,India,Rajasthan ,Nagaur,Khardiya,341504
2199,India,Rajasthan ,Nagaur,Kharesh,341318
2200,India,Rajasthan ,Nagaur,Kharikaramsota B.O,341001
2201,India,Rajasthan ,Nagaur,Khariya,341551
2202,India,Rajasthan ,Nagaur,Kharnal B.O,341001
2203,India,Rajasthan ,Nagaur,Kharwaliya,341319
2204,India,Rajasthan ,Nagaur,Khatiyabasani B.O,341303
2205,India,Rajasthan ,Nagaur,Khatora,341025
2206,India,Rajasthan ,Nagaur,Kheduli,341511
2207,India,Rajasthan ,Nagaur,Kherileela,341504
2208,India,Rajasthan ,Nagaur,Kheriseela,341504
2209,India,Rajasthan ,Nagaur,Kherwa,341503
2210,India,Rajasthan ,Nagaur,Khinwaj B.O,341303
2211,India,Rajasthan ,Nagaur,Khinwsar,341025
2212,India,Rajasthan ,Nagaur,Khinyala,341023
2213,India,Rajasthan ,Nagaur,Khinyas,341514
2214,India,Rajasthan ,Nagaur,Khojas,341318
2215,India,Rajasthan ,Nagaur,Khokhar,341512
2216,India,Rajasthan ,Nagaur,Khorandi,341509
2217,India,Rajasthan ,Nagaur,Khunkhuna,341318
2218,India,Rajasthan ,Nagaur,Khurikallan,341503
2219,India,Rajasthan ,Nagaur,Kinsariya,341512
2220,India,Rajasthan ,Nagaur,Kiro R.S.,341301
2221,India,Rajasthan ,Nagaur,Kitalsar,341503
2222,India,Rajasthan ,Nagaur,Kod,341513
2223,India,Rajasthan ,Nagaur,Koliya,341305
2224,India,Rajasthan ,Nagaur,Kuchamancity,341508
2225,India,Rajasthan ,Nagaur,Kuchera,341024
2226,India,Rajasthan ,Nagaur,Kuchipala,341504
2227,India,Rajasthan ,Nagaur,Kukanwali,341519
2228,India,Rajasthan ,Nagaur,Kukrod,341505
2229,India,Rajasthan ,Nagaur,Kum Merta,341510
2230,India,Rajasthan ,Nagaur,Kumari,341021
2231,India,Rajasthan ,Nagaur,Kundari,341503
2232,India,Rajasthan ,Nagaur,Kupras,341511
2233,India,Rajasthan ,Nagaur,Kurchi,341025
2234,India,Rajasthan ,Nagaur,Kurdada,341503
2235,India,Rajasthan ,Nagaur,Kurdayan,341510
2236,India,Rajasthan ,Nagaur,Kyamsar,341551
2237,India,Rajasthan ,Nagaur,Lachhari B.O,341303
2238,India,Rajasthan ,Nagaur,Ladariya,341517
2239,India,Rajasthan ,Nagaur,Ladawa,341518
2240,India,Rajasthan ,Nagaur,Ladnun Lsg,341306
2241,India,Rajasthan ,Nagaur,Ladnuncity,341306
2242,India,Rajasthan ,Nagaur,Ladoli,341520
2243,India,Rajasthan ,Nagaur,Ladpura,341513
2244,India,Rajasthan ,Nagaur,Lalana Khurd,341501
2245,India,Rajasthan ,Nagaur,Lalas,341509
2246,India,Rajasthan ,Nagaur,Lalsari B.O,341303
2247,India,Rajasthan ,Nagaur,Lambajatan,341510
2248,India,Rajasthan ,Nagaur,Lampolai,341510
2249,India,Rajasthan ,Nagaur,Langod,341503
2250,India,Rajasthan ,Nagaur,Ledi,341304
2251,India,Rajasthan ,Nagaur,Lichana,341533
2252,India,Rajasthan ,Nagaur,Liliya,341518
2253,India,Rajasthan ,Nagaur,Loroli,341502
2254,India,Rajasthan ,Nagaur,Lunsara,341024
2255,India,Rajasthan ,Nagaur,Lunwa,341509
2256,India,Rajasthan ,Nagaur,Madpura,341025
2257,India,Rajasthan ,Nagaur,Makrana,341505
2258,India,Rajasthan ,Nagaur,Makrana Rs,341505
2259,India,Rajasthan ,Nagaur,Makrana S.B.,341505
2260,India,Rajasthan ,Nagaur,Malgaon,341316
2261,India,Rajasthan ,Nagaur,Mamroda,341305
2262,India,Rajasthan ,Nagaur,Mamroli,341520
2263,India,Rajasthan ,Nagaur,Manakpura,341025
2264,India,Rajasthan ,Nagaur,Manana,341502
2265,India,Rajasthan ,Nagaur,Mandaljodhan,341503
2266,India,Rajasthan ,Nagaur,Mandukara,341319
2267,India,Rajasthan ,Nagaur,Manglana,341505
2268,India,Rajasthan ,Nagaur,Manglod,341027
2269,India,Rajasthan ,Nagaur,Manjhi,341301
2270,India,Rajasthan ,Nagaur,Maroth,341507
2271,India,Rajasthan ,Nagaur,Marwar Mundwa,341026
2272,India,Rajasthan ,Nagaur,Marwarbalia B.O,341303
2273,India,Rajasthan ,Nagaur,Maulasar,341506
2274,India,Rajasthan ,Nagaur,Mawa B.O,341303
2275,India,Rajasthan ,Nagaur,Mayapur,341512
2276,India,Rajasthan ,Nagaur,Medas,341518
2277,India,Rajasthan ,Nagaur,Merta City,341510
2278,India,Rajasthan ,Nagaur,Merta Road,341511
2279,India,Rajasthan ,Nagaur,Merta,341510
2280,India,Rajasthan ,Nagaur,Merwas,341030
2281,India,Rajasthan ,Nagaur,Mewara,341031
2282,India,Rajasthan ,Nagaur,Midiyan,341503
2283,India,Rajasthan ,Nagaur,Mindha,341509
2284,India,Rajasthan ,Nagaur,Mithariya,341503
2285,India,Rajasthan ,Nagaur,Mithri B.O,341303
2286,India,Rajasthan ,Nagaur,Mithri,341533
2287,India,Rajasthan ,Nagaur,Modiawat,341551
2288,India,Rajasthan ,Nagaur,Modicharana,341502
2289,India,Rajasthan ,Nagaur,Mokala,341510
2290,India,Rajasthan ,Nagaur,Morer,341542
2291,India,Rajasthan ,Nagaur,Mori,341028
2292,India,Rajasthan ,Nagaur,Moriallan,341515
2293,India,Rajasthan ,Nagaur,Morikhurd,341503
2294,India,Rajasthan ,Nagaur,Morra,341510
2295,India,Rajasthan ,Nagaur,Motipura,341519
2296,India,Rajasthan ,Nagaur,Mugadara,341510
2297,India,Rajasthan ,Nagaur,Mundghasoi,341509
2298,India,Rajasthan ,Nagaur,Mundiyar,341028
2299,India,Rajasthan ,Nagaur,Muwana,341508
2300,India,Rajasthan ,Nagaur,Nagari,341025
2301,India,Rajasthan ,Nagaur,Nagaur,341001
2302,India,Rajasthan ,Nagaur,Nagaurcity,341001
2303,India,Rajasthan ,Nagaur,Nagwara,341519
2304,India,Rajasthan ,Nagaur,Nalot,341519
2305,India,Rajasthan ,Nagaur,Nandoli Mertiyan,341520
2306,India,Rajasthan ,Nagaur,Nandolichandawatan,341517
2307,India,Rajasthan ,Nagaur,Narainpura,341508
2308,India,Rajasthan ,Nagaur,Narwakallan,341025
2309,India,Rajasthan ,Nagaur,Nathawara,341031
2310,India,Rajasthan ,Nagaur,Nawacity Lsg,341509
2311,India,Rajasthan ,Nagaur,Nawad,341319
2312,India,Rajasthan ,Nagaur,Neniya,341512
2313,India,Rajasthan ,Nagaur,Netariya,341510
2314,India,Rajasthan ,Nagaur,Netiyas,341503
2315,India,Rajasthan ,Nagaur,Nimbijodhan,341316
2316,India,Rajasthan ,Nagaur,Nimbikhurd B.O,341303
2317,India,Rajasthan ,Nagaur,Nimbola Bishwa,341031
2318,India,Rajasthan ,Nagaur,Nimbolakallan,341514
2319,India,Rajasthan ,Nagaur,Nimbri,341501
2320,India,Rajasthan ,Nagaur,Nimbrichandawatan,341024
2321,India,Rajasthan ,Nagaur,Nimbrikallan,341503
2322,India,Rajasthan ,Nagaur,Nimod,341506
2323,India,Rajasthan ,Nagaur,Nokhachandawatan,342902
2324,India,Rajasthan ,Nagaur,Nundara,341504
2325,India,Rajasthan ,Nagaur,Nuwa,341551
2326,India,Rajasthan ,Nagaur,Odit,341316
2327,India,Rajasthan ,Nagaur,Oladan,341511
2328,India,Rajasthan ,Nagaur,Pabusar B.O,341001
2329,India,Rajasthan ,Nagaur,Padukallan,341031
2330,India,Rajasthan ,Nagaur,Padukhurd,341031
2331,India,Rajasthan ,Nagaur,Pahelipatti Ladnun,341306
2332,India,Rajasthan ,Nagaur,Palara,341508
2333,India,Rajasthan ,Nagaur,Paliyas,341503
2334,India,Rajasthan ,Nagaur,Palot,341305
2335,India,Rajasthan ,Nagaur,Palrijodhan,341028
2336,India,Rajasthan ,Nagaur,Palrikallan,341503
2337,India,Rajasthan ,Nagaur,Palrinawa,341533
2338,India,Rajasthan ,Nagaur,Panchlasidha,341025
2339,India,Rajasthan ,Nagaur,Panchori B.O,341001
2340,India,Rajasthan ,Nagaur,Panchota,341509
2341,India,Rajasthan ,Nagaur,Panchwa,341508
2342,India,Rajasthan ,Nagaur,Parbatsar,341512
2343,India,Rajasthan ,Nagaur,Parewari,341516
2344,India,Rajasthan ,Nagaur,Pawa,341302
2345,India,Rajasthan ,Nagaur,Payali,341551
2346,India,Rajasthan ,Nagaur,Peeh,341503
2347,India,Rajasthan ,Nagaur,Peelwa,341503
2348,India,Rajasthan ,Nagaur,Peeplad,341512
2349,India,Rajasthan ,Nagaur,Pharrod,341030
2350,India,Rajasthan ,Nagaur,Phirod B.O,341001
2351,India,Rajasthan ,Nagaur,Phogari B.O,341303
2352,India,Rajasthan ,Nagaur,Pipasar,341029
2353,India,Rajasthan ,Nagaur,Pirwa,341318
2354,India,Rajasthan ,Nagaur,Poonlota,341503
2355,India,Rajasthan ,Nagaur,Prempura,341519
2356,India,Rajasthan ,Nagaur,Punas,341514
2357,India,Rajasthan ,Nagaur,Pundlu,341510
2358,India,Rajasthan ,Nagaur,Rabariyad,341512
2359,India,Rajasthan ,Nagaur,Rahugate Ladnun,341306
2360,India,Rajasthan ,Nagaur,Raidhana B.O,341303
2361,India,Rajasthan ,Nagaur,Raidhanu,341021
2362,India,Rajasthan ,Nagaur,Rajaliya,341508
2363,India,Rajasthan ,Nagaur,Rajapura,341301
2364,India,Rajasthan ,Nagaur,Rajlota,341503
2365,India,Rajasthan ,Nagaur,Rajod,341514
2366,India,Rajasthan ,Nagaur,Rajod,341023
2367,India,Rajasthan ,Nagaur,Ramsabas B.O,341303
2368,India,Rajasthan ,Nagaur,Ramsari,341503
2369,India,Rajasthan ,Nagaur,Ramsia,341504
2370,India,Rajasthan ,Nagaur,Ranigaon,341302
2371,India,Rajasthan ,Nagaur,Ransisar,341305
2372,India,Rajasthan ,Nagaur,Rasal,341508
2373,India,Rajasthan ,Nagaur,Rasaliyawas,341510
2374,India,Rajasthan ,Nagaur,Rasidpura,341517
2375,India,Rajasthan ,Nagaur,Ratanga,341027
2376,India,Rajasthan ,Nagaur,Ratau,341317
2377,India,Rajasthan ,Nagaur,Ratrana,341031
2378,India,Rajasthan ,Nagaur,Reengan B.O,341303
2379,India,Rajasthan ,Nagaur,Ren,341514
2380,India,Rajasthan ,Nagaur,Rid,341503
2381,India,Rajasthan ,Nagaur,Riyan,341513
2382,India,Rajasthan ,Nagaur,Rodu,341304
2383,India,Rajasthan ,Nagaur,Rohina,341030
2384,India,Rajasthan ,Nagaur,Rohindi,341512
2385,India,Rajasthan ,Nagaur,Rohini B.O,341001
2386,India,Rajasthan ,Nagaur,Rohisa,341513
2387,India,Rajasthan ,Nagaur,Rol,341027
2388,India,Rajasthan ,Nagaur,Roon,341028
2389,India,Rajasthan ,Nagaur,Rooppura,341508
2390,India,Rajasthan ,Nagaur,Rotoo,341023
2391,India,Rajasthan ,Nagaur,S.Padampura,341508
2392,India,Rajasthan ,Nagaur,S.R. Kuchamancity,341508
2393,India,Rajasthan ,Nagaur,Sabalpura,341520
2394,India,Rajasthan ,Nagaur,Sabalpura,341508
2395,India,Rajasthan ,Nagaur,Sadokan B.O,341001
2396,India,Rajasthan ,Nagaur,Saferkallan,341502
2397,India,Rajasthan ,Nagaur,Sagoobari,341305
2398,India,Rajasthan ,Nagaur,Sandila,341030
2399,India,Rajasthan ,Nagaur,Sania,341318
2400,India,Rajasthan ,Nagaur,Sanju,341503
2401,India,Rajasthan ,Nagaur,Sankhawas,341028
2402,India,Rajasthan ,Nagaur,Sanwarad B.O,341303
2403,India,Rajasthan ,Nagaur,Sardarpura Khurd,341551
2404,India,Rajasthan ,Nagaur,Sardi B.O,341303
2405,India,Rajasthan ,Nagaur,Sarnawara,341504
2406,India,Rajasthan ,Nagaur,Sathana,341031
2407,India,Rajasthan ,Nagaur,Satheran B.O,341001
2408,India,Rajasthan ,Nagaur,Satlas,341510
2409,India,Rajasthan ,Nagaur,Senani,342902
2410,India,Rajasthan ,Nagaur,Sensara,341513
2411,India,Rajasthan ,Nagaur,Serani Ki Dhani,341302
2412,India,Rajasthan ,Nagaur,Sewa B.O,341303
2413,India,Rajasthan ,Nagaur,Sewari,341029
2414,India,Rajasthan ,Nagaur,Sheelgaon,341028
2415,India,Rajasthan ,Nagaur,Shimbhupura,341507
2416,India,Rajasthan ,Nagaur,Shiv,341519
2417,India,Rajasthan ,Nagaur,Shyamgarh,341507
2418,India,Rajasthan ,Nagaur,Shyamsar B.O,341001
2419,India,Rajasthan ,Nagaur,Silanwad,341023
2420,India,Rajasthan ,Nagaur,Singar B.O,341001
2421,India,Rajasthan ,Nagaur,Singhana B.O,341303
2422,India,Rajasthan ,Nagaur,Singrawatkallan B.O,341303
2423,India,Rajasthan ,Nagaur,Sinod B.O,341001
2424,India,Rajasthan ,Nagaur,Sinwa,341317
2425,India,Rajasthan ,Nagaur,Sirasana,341514
2426,India,Rajasthan ,Nagaur,Sirsu,341501
2427,India,Rajasthan ,Nagaur,Somana,341022
2428,India,Rajasthan ,Nagaur,Soneli,341022
2429,India,Rajasthan ,Nagaur,Sribalaji,341029
2430,India,Rajasthan ,Nagaur,Station Road Didwana,341303
2431,India,Rajasthan ,Nagaur,Sudarasan,341551
2432,India,Rajasthan ,Nagaur,Sudwar,341031
2433,India,Rajasthan ,Nagaur,Sukhwasi B.O,341001
2434,India,Rajasthan ,Nagaur,Sunari,341306
2435,India,Rajasthan ,Nagaur,Supaka B.O,341303
2436,India,Rajasthan ,Nagaur,Surjaniyawas,341027
2437,India,Rajasthan ,Nagaur,Surpalia,341022
2438,India,Rajasthan ,Nagaur,Tadas,341025
2439,India,Rajasthan ,Nagaur,Talanpur,342902
2440,India,Rajasthan ,Nagaur,Tankala B.O,341001
2441,India,Rajasthan ,Nagaur,Tantwas B.O,341001
2442,India,Rajasthan ,Nagaur,Tanwara,341304
2443,India,Rajasthan ,Nagaur,Tanwara,341022
2444,India,Rajasthan ,Nagaur,Taparwara,341512
2445,India,Rajasthan ,Nagaur,Tarnau,341030
2446,India,Rajasthan ,Nagaur,Tausar B.O,341001
2447,India,Rajasthan ,Nagaur,Tehla,341031
2448,India,Rajasthan ,Nagaur,Thakriyas,341316
2449,India,Rajasthan ,Nagaur,Thanwala,305026
2450,India,Rajasthan ,Nagaur,Thata,341515
2451,India,Rajasthan ,Nagaur,Thebari,341319
2452,India,Rajasthan ,Nagaur,Thikariya Khurd,341509
2453,India,Rajasthan ,Nagaur,Thirod,341026
2454,India,Rajasthan ,Nagaur,Tilanesh,341503
2455,India,Rajasthan ,Nagaur,Todas,341509
2456,India,Rajasthan ,Nagaur,Toonkaliyan,342902
2457,India,Rajasthan ,Nagaur,Toshina,341319
2458,India,Rajasthan ,Nagaur,Ubasi,341030
2459,India,Rajasthan ,Nagaur,Unthwaliya B.O,341001
2460,India,Rajasthan ,Pali,Agewa,306302
2461,India,Rajasthan ,Pali,Alawas,306103
2462,India,Rajasthan ,Pali,Amaliya,306504
2463,India,Rajasthan ,Pali,Amarpura,306102
2464,India,Rajasthan ,Pali,Ana,306703
2465,India,Rajasthan ,Pali,Anandpur Kalu,306301
2466,India,Rajasthan ,Pali,Anoppura,306602
2467,India,Rajasthan ,Pali,Asarlai,306303
2468,India,Rajasthan ,Pali,Atabara,306104
2469,India,Rajasthan ,Pali,Auwa R.S. B.O,306001
2470,India,Rajasthan ,Pali,Auwa,306021
2471,India,Rajasthan ,Pali,B.M.G. Hospital Ramnagar,306902
2472,India,Rajasthan ,Pali,Babagaon,306708
2473,India,Rajasthan ,Pali,Babhan,306103
2474,India,Rajasthan ,Pali,Babra,306101
2475,India,Rajasthan ,Pali,Bagiara,306305
2476,India,Rajasthan ,Pali,Bagol,306502
2477,India,Rajasthan ,Pali,Bagri Kalaliya,306105
2478,India,Rajasthan ,Pali,Bagri Nagar,306114
2479,India,Rajasthan ,Pali,Balada,306709
2480,India,Rajasthan ,Pali,Balana,306912
2481,India,Rajasthan ,Pali,Bali,306701
2482,India,Rajasthan ,Pali,Balrai,306422
2483,India,Rajasthan ,Pali,Balunda,306308
2484,India,Rajasthan ,Pali,Balupura,306901
2485,India,Rajasthan ,Pali,Bamnera,306901
2486,India,Rajasthan ,Pali,Banjakuri,306308
2487,India,Rajasthan ,Pali,Bankli,306901
2488,India,Rajasthan ,Pali,Bansiya,306307
2489,India,Rajasthan ,Pali,Banta R.S.,306503
2490,India,Rajasthan ,Pali,Banta Town,306503
2491,India,Rajasthan ,Pali,Bar,306105
2492,India,Rajasthan ,Pali,Barod,306702
2493,India,Rajasthan ,Pali,Barsa B.O,306001
2494,India,Rajasthan ,Pali,Barwa,306706
2495,India,Rajasthan ,Pali,Basant,306708
2496,India,Rajasthan ,Pali,Basna,306306
2497,India,Rajasthan ,Pali,Basni Jojawar,306022
2498,India,Rajasthan ,Pali,Bayad,306421
2499,India,Rajasthan ,Pali,Beejapur,306707
2500,India,Rajasthan ,Pali,Beelawas,306104
2501,India,Rajasthan ,Pali,Beerami,306115
2502,India,Rajasthan ,Pali,Beethora,306602
2503,India,Rajasthan ,Pali,Beethu,306421
2504,India,Rajasthan ,Pali,Ber - Kalan,306302
2505,India,Rajasthan ,Pali,Bera,306126
2506,India,Rajasthan ,Pali,Bhadarlau,306503
2507,India,Rajasthan ,Pali,Bhagora,306022
2508,India,Rajasthan ,Pali,Bhaisana,306103
2509,India,Rajasthan ,Pali,Bhakriwala B.O,306401
2510,India,Rajasthan ,Pali,Bhandar,306504
2511,India,Rajasthan ,Pali,Bhangesar B.O,306401
2512,India,Rajasthan ,Pali,Bhanwari B.O,306401
2513,India,Rajasthan ,Pali,Bharunda,306901
2514,India,Rajasthan ,Pali,Bhatund,306707
2515,India,Rajasthan ,Pali,Bheemaliya,306503
2516,India,Rajasthan ,Pali,Bheemana,306504
2517,India,Rajasthan ,Pali,Bheetwara,306705
2518,India,Rajasthan ,Pali,Bhoombaliya,306301
2519,India,Rajasthan ,Pali,Bijowa,306601
2520,India,Rajasthan ,Pali,Birantiya Kalan,306105
2521,India,Rajasthan ,Pali,Birantiya Khurd,306105
2522,India,Rajasthan ,Pali,Birol,306302
2523,India,Rajasthan ,Pali,Bisalpur,306126
2524,India,Rajasthan ,Pali,Bithora Kalan B.O,306001
2525,India,Rajasthan ,Pali,Bomadara B.O,306401
2526,India,Rajasthan ,Pali,Boosi,306503
2527,India,Rajasthan ,Pali,Bootiwas,306102
2528,India,Rajasthan ,Pali,Bopari,306023
